code;name;sell_price;buy_price
VC-00007;VALVULA DE COMPUERTA PASO TOTAL DE  BRONCE 2 1/2'';45440;0
VC-00009;VALVULA DE COMPUERTA PASO TOTAL DE  BRONCE 4'';115003;0
VR-V0001;"VALVULA VERTICAL DE RETENCION 1/2""";3294;0
VR-V0002;"VALVULA VERTICAL DE RETENCION 3/4""";4533;0
VR-V0003;"VALVULA VERTICAL DE RETENCION 1""";6565;0
VR-V0004;"VALVULA VERTICAL DE RETENCION 1.1/4""";8977;0
VR-V0005;"VALVULA VERTICAL DE RETENCION 1.1/2""";13196;0
VR-V0006;"VALVULA VERTICAL DE RETENCION 2""";18622;0
VR-V0007;"VALVULA VERTICAL DE RETENCION 2.1/2""";38605;0
VR-V0008;"VALVULA VERTICAL DE RETENCION 3""";54414;0
VR-H0001;"VALVULA DE RETENCION HORIZONTAL 1/2""";4454;0
VR-H0002;"VALVULA DE RETENCION HORIZONTAL 3/4""";5404;0
VR-H0003;"VALVULA DE RETENCION HORIZONTAL 1""";9143;0
VR-H0004;"VALVULA DE RETENCION HORIZONTAL 1.1/4""";11755;0
VR-H0005;"VALVULA DE RETENCION HORIZONTAL 1.1/2""";15753;0
VR-H0006;"VALVULA DE RETENCION HORIZONTAL 2""";23758;0
VR-H0007;"VALVULA DE RETENCION HORIZONTAL 2.1/2""";39243;0
VR-H0008;"VALVULA DE RETENCION HORIZONTAL 3""";54804;0
VR-H0009;"VALVULA DE RETENCION HORIZONTAL 4""";90653;0
CR-F0011;"Copla Flexible 2.1/2""";2998;0
CR-F0012;"Copla Flexible 3""";4258;0
CR-F0013;"Copla Flexible 4""";5669;0
CR-F0014;"Copla Flexible 6""";9447;0
TM-00001;"Tee mecanica 6"" X 2""";20448;0
TM-00002;"Tee mecanica 4"" X 2""";9504;0
TM-00003;"Tee mecanica 2"" X 1""";2803;0
ST-00001;Strap;3499;0
ST-00002;Strap;3709;0
LS-00100;LLAVE UNIVERSAL;26359;0
LS-00101;LLVE GRIFO;33175;0
LS-00102;HACHA PULASKI;47712;0
PC-D0010;"PITON 1 1/2"" - CHORRO DIRECTO CON STORZ";38735;0
PC-D0011;"PITON 2"" - CHORRO DIRECTO CON STORZ";37557;0
PC-D0012;"PITON 2.1/2"" - CHORRO DIRECTO CON STORZ";52468;0
PC-D0013;"PITON 3"" - CHORRO DIRECTO CON STORZ";55963;0
PC-D0014;"PITON 1 1/2"" - 3 POSICIONES - (CON TUERCA)";62480;0
PC-D0015;"PITON 2"" - 3 POSICIONES - (CON TUERCA)";62480;0
PC-D0016;"PITON 2.1/2"" - 3 POSICIONES - (CON TUERCA)";106335;0
PC-D0017;"PITON 3"" - 3 POSICIONES - (CON TUERCA)";109234;0
PC-D0019;"PITON 1"" CON TERMINAL 1""";14768;0
PC-D0020;"PITON 1 1/2"" CON STORZ 1.1/2""";29763;0
PC-D0021;"PITON 2"" CON STORZ 2""";29763;0
PC-D0023;"PITON 3"" CON STORZ 3""";104690;0
PC-D0024;"PITON 1 1/2"" CON STORZ 1.1/2""";41464;0
PC-D0025;"PITON 2"" CON STORZ 2""";41464;0
US-C0100;"UNION STORZ 1"" COLA 1""";8887;0
US-C0101;"UNION STORZ 1"" COLA 3/4""";8854;0
US-C0102;"UNION STORZ 1"" COLA 1/2""";8854;0
US-C0103;"UNION STORZ 1"" COLA ESPINA DE PESCADO 1""";8899;0
US-C0104;"UNION STORZ 1.1/2"" COLA ESPINA DE PESCADO 1.1/2";11557;0
US-C0105;"UNION STORZ 1.1/2"" COLA ESPINA DE PESCADO 1""";11596;0
US-C0106;"UNION STORZ 1.1/2"" COLA ESPINA DE PESCADO 1.1/4""";11596;0
US-C0107;"UNION STORZ 1.1/2"" COLA ESPINA DE PESCADO 1.1/2""";11666;0
US-C0108;"UNION STORZ 2"" COLA ESPINA DE PESCADO 2""";11144;0
US-C0109;"UNION STORZ 2"" COLA ESPINA DE PESCADO 1""";12852;0
US-C0110;"UNION STORZ 2"" COLA ESPINA DE PESCADO 1.1/4""";12652;0
US-C0111;"UNION STORZ 2"" COLA ESPINA DE PESCADO 1.1/2""";12940;0
US-C0112;"UNION STORZ 2"" COLA ESPINA DE PESCADO 2.1/2""";15361;0
